source,target
1074830,1807837
1074830,1535029
1074830,127300
1074830,1807837
1074830,1920556
1535029,1074830
1074830,1920556
1074830,427484
1074830,1807837
1920556,1074830
1074830,1259030
1547512,1074830
1074830,1093591
1074830,1093591
1920556,1074830
1074830,1535029
1074830,1625291
1074830,127300
1074830,1259030
1074830,1259030
1625291,1074830
1074830,1920556
1259030,1074830
1074830,1093591
1093591,1074830
1074830,1625291
1074830,1535029
1074830,1807837
1074830,127300
1535029,1074830
1535029,1074830
1074830,949076
1093591,1074830
1074830,127300
1074830,1093591
1625291,1074830
1074830,427484
949076,1074830
1074830,949076
1074830,427484
880989,1074830
314478,1074830
1625291,1074830
1074830,1807837
1074830,1535029
1074830,1093591
1074830,1625291
1074830,127300
1074830,1093591
1074830,1535029
127300,1074830
1093591,1074830
1625291,1074830
127300,1074830
127300,1074830
1625291,1074830
1625291,1074830
1074830,1093591
1074830,1535029
1074830,1920556
1074830,1807837
1074830,127300
1074830,1535029
1074830,1625291
486745,1074830
1535029,1074830
1074830,1535029
1535029,1074830
1074830,884733
1074830,1625291
1074830,1625291
1074830,1920556
1074830,1093591
1074830,1093591
1074830,1807837
1074830,127300
1088642,1074830
1074830,1459975
1074830,1618957
1618957,1074830
1034991,1074830
127300,1074830
1074830,559060
1074830,127300
1093591,1074830
1093591,1074830
1093591,1074830
1074830,949076
1535029,1074830
1074830,1535029
1074830,1093591
1074830,1535029
1625291,1074830
1074830,1625291
1074830,1807837
1074830,127300
1074830,596939
1074830,1093591
1074830,127300
1074830,1920556
1074830,1920556
1074830,1625291
1074830,1259030
1093591,1074830
1920556,1074830
1093591,1074830
1093591,1074830
949076,1074830
127300,1074830
1074830,1093591
1093591,1074830
949076,1074830
1074830,1093591
1074830,1535029
596939,1074830
1074830,1625291
763995,1074830
1074830,127300
1074830,1807837
1074830,447436
1074830,1535029
1074830,127300
127300,1074830
1093591,1074830
1074830,1093591
1074830,1093591
1074830,1093591
1093591,1074830
949076,1074830
1093591,1074830
1093591,1074830
949076,1074830
1535029,1074830
1535029,1074830
486745,1074830
1074830,1535029
1364654,1074830
1074830,1535029
1074830,1093591
1074830,127300
1074830,1625291
1074830,1807837
127300,1074830
1535029,1074830
1074830,1093591
1625291,1074830
1093591,1074830
1074830,1807837
1074830,1535029
1074830,1625291
1074830,127300
884733,1074830
884733,1074830
1074830,1818657
1074830,1625291
1074830,1807837
1074830,884733
1074830,1818657
1074830,884733
1074830,1625291
1074830,1807837
1074830,1625291
884733,1074830
1074830,884733
884733,1074830
1074830,884733
1074830,884733
127300,1074830
1093591,1074830
427484,1074830
1074830,542430
1074830,127300
1074830,155308
1074830,1093591
1074830,1093591
1093591,1074830
127300,1074830
1074830,390740
1075428,2690992
1075428,4228561
1075428,3090426
2690992,1075428
1075428,1116136
1075428,3090426
4228561,1075428
1075428,1192702
2171859,1075428
598488,1075428
1009949,1075428
2171859,1075428
1075428,53623
1009949,1075428
1009949,1075428
1009949,1075428
1075428,2171859
1075428,2171859
1116136,1075428
1075428,1348673
1075428,1348673
1075428,923661
1075428,1251340
1075428,1009949
870286,1075428
1673872,1075428
923661,1075428
1075428,1553615
2289891,1082173
1082173,718518
948847,1082173
718518,1082173
2183585,1082173
748562,1082173
2387829,1082173
948847,1082173
2322853,1082173
2322853,1082173
718518,1082173
748562,1082173
2183585,1082173
1082173,948847
729524,1082173
729524,1082173
729524,1082173
1082173,729524
1082173,718518
1082173,748562
729524,1082173
1082173,718518
1082173,948847
948847,1082173
729524,1082173
729524,1082173
1082173,2289891
729524,1082173
729524,1082173
729524,1082173
1084221,1082173
2289891,1082173
729524,1082173
1497035,1082173
880780,1082173
1139345,1082173
2191629,1082173
729524,1082173
729524,1082173
1082173,948847
729524,1082173
1082173,718518
1082173,948847
948847,1082173
1082173,948847
1082173,948847
1082173,729524
729524,1082173
1082173,1712077
583612,1082173
1927034,1082173
583612,1082173
1082173,729524
731237,1082173
1082173,748562
1082173,729524
1082173,729524
729524,1082173
729524,1082173
1082173,718518
948847,1082173
1082173,948847
1082173,748562
1082173,748562
1082173,729524
729524,1082173
1082173,2322853
1082173,948847
389275,1082173
948847,1082173
1082173,866686
1082173,729524
1082173,729524
1082173,729524
729524,1082173
729524,1082173
729524,1082173
1082173,729524
948847,1082173
1082173,1630384
1082173,718518
748562,1082173
729524,1082173
1082173,866686
698474,1082173
1082173,389275
1082173,653150
729524,1082173
1082173,729524
748562,1082173
729524,1082173
729524,1082173
729524,1082173
1082173,1044585
1082173,948847
1082173,748562
1082173,866686
1082173,1668893
1082173,866686
1082173,1044585
1082173,948847
1082173,1668893
1082173,748562
1082173,1927034
1082173,718518
1082173,748562
1082173,1668893
1082173,866686
1082173,4100936
1082173,4100936
4100936,1082173
4100936,1082173
653150,1082173
1082173,1418797
2176303,1082173
2176303,1082173
2176303,1082173
1082173,748562
1082173,866686
748562,1082173
1082173,729524
729524,1082173
1082173,748562
948847,1082173
1082173,718518
1668893,1082173
698474,1082173
1668893,1082173
1082173,1668893
1082173,718518
1082173,729524
729524,1082173
1082173,729524
1082173,748562
1082173,731237
1082173,748562
1082173,718518
1082173,718518
698474,1082173
1082173,748562
1082173,1712077
1082173,748562
1082173,748562
1082173,718518
1082173,1668893
1082173,866686
729524,1082173
1082173,729524
729524,1082173
1082173,729524
729524,1082173
1082173,729524
729524,1082173
1082173,729524
729524,1082173
1082173,729524
729524,1082173
1082173,729524
729524,1082173
1082173,729524
729524,1082173
748562,1082173
1082173,1668893
718518,1082173
1082173,1927034
748562,1082173
2322853,1082173
948847,1082173
731237,1082173
748562,1082173
731237,1082173
731237,1082173
2322853,1082173
1668893,1082173
718518,1082173
748562,1082173
1082173,1927034
1927034,1082173
748562,1082173
1668893,1082173
731237,1082173
1082173,718518
1082173,718518
1082173,718518
731237,1082173
1082173,731237
731237,1082173
1082173,718518
1082173,698474
698474,1082173
1082173,866686
1082173,731237
1082173,1668893
866686,1082173
1082173,698474
1668893,1082173
753820,1082173
1082173,1117703
1082173,1668893
753820,1082173
1082173,718518
1082173,753820
1082173,129838
1082173,129838
129838,1082173
1927034,1082173
1082173,948847
1082173,753820
1266580,1082173
1668893,1082173
1668893,1082173
1668893,1082173
1668893,1082173
1668893,1082173
753820,1082173
776432,1082173
753820,1082173
753820,1082173
1082173,1927034
1082173,1927034
1082173,1927034
1082173,1506929
1082173,1668893
1082173,748562
2183585,1082173
1266580,1082173
1831509,1082173
1082173,1068666
1082173,531257
1084221,1082173
531257,1082173
1082173,748562
748562,1082173
731237,1082173
748562,1082173
1082173,731237
1230761,1082173
731237,1082173
1082173,1084221
1082173,718518
718518,1082173
1082173,753820
1082173,753820
753820,1082173
753820,1082173
1082173,718518
1082173,718518
1082173,718518
698474,1082173
1082173,1287970
718518,1082173
698474,1082173
1082173,753820
1082671,2276258
3652430,1082671
1082671,706538
1153759,1082671
1082671,527028
2276258,1082671
1082671,2276258
1082671,3652430
1082671,1077792
1082671,2171859
1082671,2171859
1082671,2276258
1040481,1082671
1082671,2276258
1082671,1327916
5503291,1082671
1976223,1082671
1185380,1082671
2276258,1082671
291310,1082671
1082671,2276258
1082671,1077792
1082671,2458510
1082671,2276258
2458510,1082671
2458510,1082671
1082671,2458510
1082671,1077792
1082671,2276258
1082671,1077792
3041116,1082671
1082671,3797352
6183542,1082671
1082671,1976223
1082671,1077792
3652430,1082671
2171859,1082671
3652430,1082671
1082671,1081956
2276258,1082671
1082671,1976223
1082671,1077792
651265,1082671
651265,1082671
1077792,1082671
1082671,1077792
1077792,1082671
1082671,651265
1077792,1082671
1077792,1082671
1082671,1077792
1082671,1077792
1077792,1082671
1175778,1082671
1082671,1077792
1077792,1082671
3954137,1082671
1082671,2276258
1082671,1077792
1077792,1082671
1082671,1077792
1082671,3652430
1082671,2276258
117036,1082671
1082671,331002
1082671,117036
117036,1082671
117036,1082671
2458510,1082671
1185380,1082671
1082671,2276258
1082671,117036
1077792,1082671
1185380,1082671
1082671,1077792
1082671,1077792
1077792,1082671
1077792,1082671
1082671,117036
1082671,1077792
117036,1082671
117036,1082671
1082671,117036
1082671,117036
1082671,1077792
1077792,1082671
1082671,117036
1082671,1077792
1077792,1082671
1077792,1082671
1082671,1077792
1077792,1082671
117036,1082671
1082671,117036
1185380,1082671
1082671,117036
117036,1082671
1082671,1077792
1077792,1082671
117036,1082671
1077792,1082671
1082671,117036
1082671,1077792
2458510,1082671
1077792,1082671
1082671,117036
1082671,1077792
1077792,1082671
117036,1082671
1077792,1082671
1082671,117036
1082671,1077792
117036,1082671
2276258,1082671
117036,1082671
1082671,117036
1082671,2276258
2458510,1082671
1082671,2458510
117036,1082671
2276258,1082671
2276258,1082671
1082671,2276258
1082671,2276258
1082671,2458510
1082671,2276258
1082671,1093205
1082671,3652430
1077792,1082671
3652430,1082671
1077792,1082671
1082671,1077792
1082671,1077792
2458510,1082671
1082671,515178
1082671,2458510
1082671,1185380
2458510,1082671
2945945,1082671
1082671,1185380
1082671,1306583
3652430,1082671
1082671,2276258
2458510,1082671
1082671,2276258
1082671,1077792
1082671,1976223
1082671,1175778
1082671,1306583
708461,1082671
3041116,1082671
1082671,1976223
1327916,1082671
1082671,2276258
1082671,1976223
1077792,1082671
1093205,1082671
1077792,1082671
2458510,1082671
1185380,1082671
2458510,1082671
1077792,1082671
